N,c,k,n_gaps,D_gap0,rho,cv,ford_factor,seconds,norm,norm_over_ford
1000,0.5,500,10,339,0.3405974165606362,0.01937984496124031,1.0,0.0004432201385498047,1.0,1.0
1000,0.75,750,10,331,0.2154379271286281,0.011041060557066074,1.0,0.0003142356872558594,1.0,1.0
1000,0.9,900,10,176,0.09448268080748319,0.028781331501429627,1.0,0.0002803802490234375,1.0,1.0
10000,0.5,5000,10,3143,0.31162854617261704,0.003847487244016187,0.7922259148012587,0.0020394325256347656,0.914946887499771,1.1549065366402445
10000,0.75,7500,10,3034,0.2023916215223803,0.007250899652705844,0.7922259148012587,0.001003265380859375,0.9394428558604797,1.185826969692291
10000,0.9,9000,10,1703,0.09285417032547988,0.008131192931127207,0.7922259148012587,0.0006399154663085938,0.9827639259588585,1.2405096924977506
100000,0.5,50000,10,29088,0.2905629451448976,0.0020189193714423258,0.6731666807393576,0.019181251525878906,0.8530979127176351,1.2672907574401249
100000,0.75,75000,10,28694,0.19110059468508359,0.0011370272379932452,0.6731666807393576,0.009351253509521484,0.8870332036335746,1.317702181366614
100000,0.9,90000,10,16168,0.08971279560877674,0.002108158185514529,0.6731666807393576,0.005025386810302734,0.9495157720130156,1.4105210480265247
1000000,0.5,500000,10,274892,0.2749480507901624,0.0006829969043900801,0.5948774806414254,0.362959623336792,0.8072523085072011,1.3570059966579722
1000000,0.75,750000,10,273820,0.18258451607017104,0.0006958363539117101,0.5948774806414254,0.1391749382019043,0.847504051415971,1.424669917748696
1000000,0.9,900000,10,156547,0.08699557219909618,0.0006086517655776125,0.5948774806414254,0.04963421821594238,0.9207568144299095,1.5478091613706833
10000000,0.5,5000000,10,2626209,0.2626951672986944,0.00017590065314667264,0.5388923862617735,3.7277512550354004,0.7712776272685764,1.431227545482372
10000000,0.75,7500000,10,2636842,0.17577465615345944,0.00024358058463498297,0.5388923862617735,2.0756354331970215,0.8158946685766822,1.5140215177958583
10000000,0.9,9000000,10,1525298,0.08471915849188139,0.000224751688612195,0.5388923862617735,0.622772216796875,0.896663364839363,1.6639006000055045
100000000,0.5,50000000,3,25275522,0.2527637890835359,8.331258497904097e-05,0.4965324406381845,10.578036069869995,0.7421189263146881,1.4946031025905488
100000000,0.75,75000000,3,25524470,0.17016840104108164,5.965270163951101e-05,0.4965324406381845,6.3978271484375,0.7898720680666496,1.5907763590460287
100000000,0.9,90000000,3,14903102,0.08279721158299967,2.438637763159709e-05,0.4965324406381845,2.7914183139801025,0.8763215742333381,1.7648828203591638
