R,count
0,0
1,131
2,375
3,78
4,440
5,17
6,162
7,3
8,304
9,15
10,17
11,1
12,143
13,0
14,6
15,7
16,102
17,0
18,23
19,0
20,23
21,0
22,0
23,0
24,70
25,1
26,0
27,0
28,6
29,0
30,4
31,0
32,18
33,0
34,0
35,0
36,17
37,0
38,0
39,0
40,9
41,0
42,1
43,0
44,0
45,0
46,0
47,0
48,12
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,2
57,0
58,0
59,0
60,1
61,0
62,0
63,0
64,5
65,0
66,0
67,0
68,0
69,0
70,1
71,0
72,4
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,1
91,0
92,0
93,0
94,0
95,0
96,2
