R,count
0,0
1,139
2,366
3,76
4,444
5,13
6,164
7,5
8,296
9,12
10,26
11,1
12,146
13,0
14,6
15,7
16,105
17,0
18,24
19,0
20,19
21,1
22,0
23,0
24,63
25,1
26,0
27,2
28,3
29,0
30,6
31,0
32,21
33,0
34,0
35,1
36,14
37,0
38,0
39,0
40,9
41,0
42,1
43,0
44,0
45,0
46,0
47,0
48,18
49,0
50,1
51,0
52,0
53,0
54,1
55,0
56,1
57,0
58,0
59,0
60,1
61,0
62,0
63,0
64,2
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,2
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,1
81,0
82,0
83,0
84,1
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,1
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,1
