tag,c,L,t,rho,se,n,seconds
N=10^4,0.5,17.034386382832476,2.835234029497472,0.28633333333333333,0.008253212618036599,3000,0.0
N=10^4,0.75,17.845316599048804,2.881741098395772,0.1581592171383232,0.005934155128023513,3781,0.0
N=10^4,0.9,18.209959712636714,2.901968681361271,0.07176033441709243,0.0027811235191015356,8612,0.1
N=10^6,0.5,26.244726754808656,3.267465083326333,0.26066666666666666,0.008014976721853398,3000,0.0
N=10^6,0.75,27.055656971024984,3.2978961135951077,0.14682926829268292,0.005527545970406368,4100,0.0
N=10^6,0.9,27.420300084612894,3.3112836180791296,0.06688778330569375,0.0026268547160620296,9045,0.1
N=10^8,0.5,35.45506712678485,3.5682661800494673,0.25233333333333335,0.007930137077886742,3000,0.0
N=10^8,0.75,36.265997343001175,3.5908805899676493,0.13822947576656774,0.005427384309599054,4044,0.0
N=10^8,0.9,36.630640456589084,3.6008850611202377,0.06541961577350859,0.0024863609681742053,9890,0.1
2^64,0.5,87.3365447505531,4.469768986369814,0.18542635658914727,0.006843622570141442,3225,0.0
2^64,0.75,88.14747496676944,4.479011263700422,0.11207383688076851,0.004329464510029338,5309,0.0
2^64,0.9,88.51211808035734,4.48313947010184,0.052704099207716154,0.0020735356804884365,11612,0.1
2^256,0.5,353.5050620855721,5.867897805136707,0.13297150610583447,0.005106068184901212,4422,0.0
2^256,0.75,354.3159923017884,5.870189148594179,0.08868071818891492,0.0035521419560956436,6405,0.1
2^256,0.9,354.68063541537634,5.871217766027559,0.05017207027712371,0.002077445348059525,11042,0.1
2^1024,0.5,1418.1791314256482,7.257129025929908,0.10335570469798658,0.003943248903313708,5960,0.1
2^1024,0.75,1418.9900616418645,7.257700673359522,0.06948316534419902,0.0026330203104369854,9326,0.1
2^1024,0.9,1419.3547047554523,7.257957614038407,0.038611544461778474,0.0015533645962575251,15384,0.2
2^4096,0.5,5676.875408785952,8.64415625626545,0.08072420364824394,0.003178332549285411,7346,0.1
2^4096,0.75,5677.686339002168,8.644299094049172,0.05266666666666667,0.0020390538837266516,12000,0.2
2^4096,0.9,5678.050982115756,8.644363315878792,0.030238144975976603,0.0012375091301102157,19148,0.3
2^16384,0.5,22711.660518227167,10.030633750798545,0.05850234009360374,0.0021848970296308693,11538,0.2
2^16384,0.75,22712.471448443383,10.030669455618039,0.04148471615720524,0.0017011797961639364,13740,0.2
2^16384,0.9,22712.836091556972,10.03068551024192,0.0249609984399376,0.0010269793363668282,23076,0.4
2^65536,0.5,90850.80095599203,11.416973890031928,0.04704,0.0018937209593812916,12500,0.2
2^65536,0.75,90851.61188620825,11.416982815947698,0.03467818865383536,0.001370560549738557,17821,0.3
2^65536,0.9,90851.97652932184,11.416986829551577,0.019691047831751348,0.0008476615333259803,26865,0.5
2^2^18,0.5,363407.36270705145,12.803279695352755,0.0358814352574103,0.0014995656734106252,15384,0.4
2^2^18,0.75,363408.17363726767,12.803281926813629,0.026833333333333334,0.0010430984604284238,24000,0.5
2^2^18,0.9,363408.5382803813,12.803282930211344,0.017254578646722807,0.000706603956595601,33962,0.7
2^2^20,0.5,1453633.6097112892,14.189576917502416,0.02922270569620253,0.0011843675200157002,20224,0.5
2^2^20,0.75,1453634.4206415054,14.189577475366505,0.021883576484183157,0.0008791789164392114,27692,0.8
2^2^20,0.9,1453634.785284619,14.189577726215731,0.013473640232916416,0.0005891344824265133,38297,1.1
2^10^8,0.5,138629434.7256947,18.747314993930647,0.015840158401584016,0.0006838728758497485,33333,2.8
2^10^8,0.75,138629435.5366249,18.747314999780272,0.011573333333333333,0.0004509622559005505,56250,5.1
2^10^8,0.9,138629435.901268,18.747315002410616,0.007583914168602784,0.00026661374427311576,105882,9.4
2^10^10,0.5,13862943609.812613,23.352485189818736,0.007668974099712219,0.00034406626771201447,64285,42.2
2^10^10,0.75,13862943610.62354,23.352485189877235,0.005831111111111111,0.00022700189434982426,112500,69.9
2^10^10,0.9,13862943610.988184,23.352485189903536,0.004035,0.00014175187432623245,200000,124.5
2^10^11,0.5,138629436110.60275,25.655070282902784,0.006188811188811189,0.00026773917057491776,85800,214.6
2^10^11,0.75,138629436111.41367,25.655070282908632,0.00445,0.00019214138674424102,120000,77.0
2^10^11,0.9,138629436111.77832,25.655070282911264,0.003175,0.0001257958539658601,200000,129.5
2^512,0.5,708.3964185322641,6.563003850181985,0.12029392338177014,0.0020901031118022097,24224,0.3
2^512,0.75,709.2073487484804,6.564147936171861,0.07673524522028263,0.0013566029848069013,38496,0.2
2^512,0.9,709.5719918620683,6.564661959898003,0.04280013302294646,0.000825357614505267,60140,0.3
2^10^12,0.5,1386294361118.5044,27.95765537590583,0.004207336523125996,8.174370459942603e-05,627000,357.8
2^10^12,0.75,1386294361119.3152,27.957655375906413,0.003303696303696304,4.0555470666897824e-05,2002000,1154.3
2^10^12,0.9,1386294361119.68,27.957655375906675,0.0022924151696606786,4.777650900521236e-05,1002000,571.5
N=10^4,0.5,17.034386382832476,2.835234029497472,0.293825,0.0016104807875872036,80000,0.0
N=10^6,0.5,26.244726754808656,3.267465083326333,0.2620125,0.0015546782217059822,80000,0.0
N=10^8,0.5,35.45506712678485,3.5682661800494673,0.241125,0.001512381129109822,80000,0.0
