tag,c,L,t,rho,se,n,seconds
2^10^17,0.5,1.3862943611198906e+17,39.470580840877055,0.0010496277915632755,5.100785890556628e-05,403000,1801.0
2^10^17,0.5,1.3862943611198906e+17,39.470580840877055,0.0010473979102518802,5.138780837319817e-05,396220,1800.6
2^10^17,0.5,1.3862943611198906e+17,39.470580840877055,0.0010853180584865843,5.2189045504805996e-05,398040,1800.6
2^10^17,0.5,1.3862943611198906e+17,39.470580840877055,0.0010756828917642227,5.2522276618406386e-05,389520,1800.9
2^10^17,0.5,1.3862943611198906e+17,39.470580840877055,0.0011713295754253504,5.500162339349122e-05,386740,1800.4
2^10^17,0.5,1.3862943611198906e+17,39.470580840877055,0.0011073523970611555,5.40677437551069e-05,378380,1800.6
2^10^17,0.5,1.3862943611198906e+17,39.470580840877055,0.000967978489366903,4.861920104113028e-05,409100,1800.9
2^10^17,0.5,1.3862943611198906e+17,39.470580840877055,0.0011330691921144183,5.229062438645301e-05,413920,1800.5
2^10^17,0.5,1.3862943611198906e+17,39.470580840877055,0.001044670410279759,5.137801273184966e-05,395340,1800.7
2^10^17,0.5,1.3862943611198906e+17,39.470580840877055,0.0010358507199529827,5.033869352809599e-05,408360,1800.7
2^10^17,0.5,1.3862943611198906e+17,39.470580840877055,0.0010349661883555996,4.6168891447497914e-05,485040,1801.1
2^10^17,0.5,1.3862943611198906e+17,39.470580840877055,0.0010191450734444627,4.5830133000726555e-05,484720,1800.9
2^10^17,0.5,1.3862943611198906e+17,39.470580840877055,0.0010453891969603615,4.631183555996602e-05,486900,1800.4
2^10^17,0.5,1.3862943611198906e+17,39.470580840877055,0.0011065175097276264,4.73283712572054e-05,493440,1800.9
2^10^17,0.5,1.3862943611198906e+17,39.470580840877055,0.0010055843314988669,4.5083936943083606e-05,494240,1800.8
2^10^17,0.5,1.3862943611198906e+17,39.470580840877055,0.0010832501663339987,4.743234000499906e-05,480960,1800.4
2^10^17,0.5,1.3862943611198906e+17,39.470580840877055,0.000988920804267542,4.502183029303468e-05,487400,1800.8
2^10^17,0.5,1.3862943611198906e+17,39.470580840877055,0.0010565940882063566,4.751329443256639e-05,467540,1800.6
2^10^17,0.5,1.3862943611198906e+17,39.470580840877055,0.0009098877248633081,4.355588995623785e-05,479180,1800.5
2^10^17,0.5,1.3862943611198906e+17,39.470580840877055,0.0011057255377158438,4.888736750871847e-05,462140,1800.6
